company_id,pros_count,cons_count,pros,cons,recommendation
JIOFIN,4,2,Strong net profit margin; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity; Poor asset utilization,HOLD
JSWENERGY,3,3,Strong net profit margin; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity; Negative Free Cash Flow; Poor asset utilization,HOLD
JSWSTEEL,2,1,Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow,HOLD
KOTAKBANK,3,2,Strong net profit margin; Positive Free Cash Flow; Positive Earnings Per Share,Poor asset utilization; Low operating margin,HOLD
LICI,3,3,High Return on Equity; Positive Free Cash Flow; Positive Earnings Per Share,Low profit margin; Poor asset utilization; Low operating margin,HOLD
LODHA,3,3,Strong net profit margin; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity; Negative Free Cash Flow; Poor asset utilization,HOLD
LT,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
LTIM,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
M&M,3,1,High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow,HOLD
MARUTI,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
MOTHERSON,3,2,Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,Low profit margin; Low operating margin,HOLD
NAUKRI,3,3,Strong net profit margin; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity; Negative Free Cash Flow; Poor asset utilization,HOLD
NESTLEIND,6,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
NHPC,4,1,Strong net profit margin; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
NTPC,3,1,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
ONGC,4,0,High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
PFC,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
PIDILITIND,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
PNB,15,5,High Return on Equity; Efficient asset utilization; Positive Earnings Per Share; High Return on Equity; Efficient asset utilization; Positive Earnings Per Share; High Return on Equity; Efficient asset utilization; Positive Earnings Per Share; High Return on Equity; Efficient asset utilization; Positive Earnings Per Share; High Return on Equity; Efficient asset utilization; Positive Earnings Per Share,Negative Free Cash Flow; Negative Free Cash Flow; Negative Free Cash Flow; Negative Free Cash Flow; Negative Free Cash Flow,HOLD
POWERGRID,10,2,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share; Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization; Poor asset utilization,BUY
RECLTD,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
RELIANCE,3,1,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity,HOLD
SBILIFE,1,4,Positive Earnings Per Share,Low profit margin; Negative Free Cash Flow; Poor asset utilization; Low operating margin,SELL
SHREECEM,3,1,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity,HOLD
SHRIRAMFIN,4,2,Strong net profit margin; High Return on Equity; Healthy operating margin; Positive Earnings Per Share,Negative Free Cash Flow; Poor asset utilization,HOLD
SUNPHARMA,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
TATACONSUM,3,1,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Weak Return on Equity,HOLD
TATAMOTORS,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
TATAPOWER,3,1,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,Poor asset utilization,HOLD
TATASTEEL,1,3,Positive Free Cash Flow,Low profit margin; Weak Return on Equity; Negative Earnings Per Share,SELL
TCS,6,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
TECHM,6,6,Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,Low profit margin; Weak Return on Equity; Low operating margin; Low profit margin; Weak Return on Equity; Low operating margin,HOLD
TITAN,4,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Positive Earnings Per Share,,HOLD
TORNTPHARM,5,0,Strong net profit margin; High Return on Equity; Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
TRENT,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
TVSMOTOR,2,2,High Return on Equity; Positive Earnings Per Share,Low profit margin; Negative Free Cash Flow,HOLD
ULTRACEMCO,3,0,Positive Free Cash Flow; Healthy operating margin; Positive Earnings Per Share,,HOLD
UNIONBANK,2,2,Positive Free Cash Flow; Positive Earnings Per Share,Poor asset utilization; Low operating margin,HOLD
INDIGO,5,0,High Return on Equity; Positive Free Cash Flow; Efficient asset utilization; Healthy operating margin; Positive Earnings Per Share,,HOLD
